age,weight,height,income_lpa,smoker,city,occupation,insurance_premium_category,,,,,,
41,69,176,9.47,FALSE,Bangalore,Electrician,Low,,,,,,
37,58,188,22.86,FALSE,Chennai,Carpenter,Medium,,,,,,
28,93,157,37.48,FALSE,Allahabad,Insurance Agent,Medium,,,,,,
28,73,180,44.04,TRUE,Vadodara,Lab Technician,Medium,,,,,,
45,99,185,35.96,FALSE,Chennai,Consultant,Medium,,,,,,
63,97,188,36.89,FALSE,Bangalore,Retail Manager,Low,,,,,,
23,97,182,47.56,FALSE,Agra,Software Engineer,Low,,,,,,
51,72,165,40.94,FALSE,Ludhiana,Accountant,Medium,,,,,,
26,53,158,47.22,FALSE,Agra,Content Writer,Low,,,,,,
25,67,192,6.33,FALSE,Surat,Chef,Low,,,,,,
41,47,162,4.82,FALSE,Ranchi,Businessman,Low,,,,,,
50,84,164,3.46,FALSE,Allahabad,Architect,Medium,,,,,,
53,87,164,29.79,TRUE,Meerut,Marketing Manager,High,,,,,,
51,96,178,15.34,FALSE,Nashik,Carpenter,Medium,,,,,,
41,68,177,48.44,TRUE,Hyderabad,Architect,High,,,,,,
37,86,184,20.8,FALSE,Ahmedabad,Chef,Medium,,,,,,
39,54,176,46.93,FALSE,Allahabad,Banker,Medium,,,,,,
35,52,185,47.33,TRUE,Ludhiana,Chef,High,,,,,,
38,67,184,15.45,FALSE,Hyderabad,Insurance Agent,Low,,,,,,
27,83,175,25.69,FALSE,Srinagar,Carpenter,Low,,,,,,
60,76,188,26.4,TRUE,Indore,Shop Owner,High,,,,,,
51,92,185,7.89,FALSE,Jaipur,Factory Worker,Medium,,,,,,
43,45,153,4.37,FALSE,Hyderabad,Nurse,Low,,,,,,
63,96,184,49.14,FALSE,Kolkata,Architect,Medium,,,,,,
33,83,165,22.45,FALSE,Nashik,Accountant,Medium,,,,,,
21,88,194,46.38,FALSE,Hyderabad,Content Writer,Low,,,,,,
37,84,176,18.47,TRUE,Chennai,Software Engineer,High,,,,,,
60,73,187,27.24,FALSE,Patna,Engineer,Medium,,,,,,
43,84,152,45.27,FALSE,Hyderabad,Shop Owner,Medium,,,,,,
53,65,162,7.87,FALSE,Mumbai,Civil Servant,Low,,,,,,
36,70,151,46.66,TRUE,Patna,Content Writer,High,,,,,,
49,48,174,34.36,TRUE,Ghaziabad,Engineer,High,,,,,,
22,46,177,35.02,TRUE,Bhopal,Nurse,High,,,,,,
50,54,185,14.3,FALSE,Jaipur,Content Writer,Medium,,,,,,
46,85,182,41.29,TRUE,Nagpur,Accountant,High,,,,,,
64,75,167,46.89,FALSE,Varanasi,Architect,Medium,,,,,,
45,78,192,19.22,FALSE,Faridabad,Lawyer,Low,,,,,,
26,55,184,20.58,FALSE,Bangalore,Driver,Low,,,,,,
59,72,163,3.54,TRUE,Kolkata,Software Engineer,High,,,,,,
45,93,165,15.32,FALSE,Kolkata,Shop Owner,Medium,,,,,,
42,89,189,23.6,FALSE,Surat,Software Engineer,Low,,,,,,
61,90,172,5.83,FALSE,Pune,Engineer,Medium,,,,,,
25,89,195,10.79,FALSE,Faridabad,Businessman,Low,,,,,,
27,61,182,9.73,FALSE,Faridabad,Data Analyst,Low,,,,,,
39,92,162,10.52,FALSE,Surat,Businessman,Medium,,,,,,
50,50,164,21.52,FALSE,Nagpur,Real Estate Agent,Low,,,,,,
46,88,177,7.47,FALSE,Agra,Shop Owner,Medium,,,,,,
23,85,176,2.11,FALSE,Allahabad,Lab Technician,Low,,,,,,
53,71,170,19.94,FALSE,Hyderabad,Chef,Low,,,,,,
21,85,170,31.96,FALSE,Surat,Lab Technician,Low,,,,,,
52,90,170,40.5,FALSE,Kanpur,Lab Technician,High,,,,,,
60,69,166,39.16,FALSE,Delhi,Software Engineer,Medium,,,,,,
45,87,181,47.01,FALSE,Indore,Content Writer,Medium,,,,,,
36,76,159,30.67,TRUE,Ahmedabad,Software Engineer,High,,,,,,
63,60,181,35.26,TRUE,Nagpur,Electrician,High,,,,,,
40,63,153,6.39,TRUE,Hyderabad,Teacher,Medium,,,,,,
43,78,155,10.4,FALSE,Kanpur,Accountant,Medium,,,,,,
29,63,169,46.27,TRUE,Hyderabad,Electrician,Medium,,,,,,
22,53,164,30.45,FALSE,Mumbai,Sales Manager,Low,,,,,,
58,67,184,45.04,FALSE,Hyderabad,Sales Manager,Medium,,,,,,
49,98,162,5.16,TRUE,Meerut,Civil Servant,High,,,,,,
25,58,187,3.25,TRUE,Ranchi,Software Engineer,Medium,,,,,,
57,56,168,16.51,FALSE,Vadodara,Retail Manager,Low,,,,,,
26,63,151,13.33,FALSE,Vadodara,Teacher,Low,,,,,,
40,67,150,28.25,FALSE,Ahmedabad,Shop Owner,Medium,,,,,,
60,75,179,46.2,FALSE,Meerut,Accountant,Medium,,,,,,
60,63,177,17.73,FALSE,Patna,Sales Manager,Low,,,,,,
37,46,161,4.98,FALSE,Meerut,Electrician,Low,,,,,,
26,49,155,40.48,FALSE,Allahabad,HR Manager,Low,,,,,,
59,84,171,22.46,TRUE,Rajkot,Data Analyst,High,,,,,,
48,87,179,2.9,FALSE,Bangalore,Pharmacist,Low,,,,,,
46,46,192,38.05,FALSE,Varanasi,Electrician,Medium,,,,,,
20,56,161,17.48,FALSE,Patna,Carpenter,Low,,,,,,
39,83,157,33.24,TRUE,Ludhiana,Government Employee,High,,,,,,
26,48,158,3.86,FALSE,Allahabad,Doctor,Low,,,,,,
47,69,181,25.46,TRUE,Visakhapatnam,Government Employee,High,,,,,,
53,91,164,2.05,FALSE,Bhopal,Insurance Agent,Medium,,,,,,
18,75,162,41.77,FALSE,Allahabad,Lab Technician,Low,,,,,,
54,72,172,23.31,FALSE,Visakhapatnam,Civil Servant,Medium,,,,,,
57,99,174,10.03,FALSE,Nagpur,Factory Worker,Medium,,,,,,
48,59,178,14.46,FALSE,Delhi,Electrician,Low,,,,,,
64,96,173,17.41,FALSE,Nagpur,Civil Servant,Medium,,,,,,
36,94,192,9.58,TRUE,Hyderabad,Data Analyst,High,,,,,,
39,47,165,10.17,FALSE,Ahmedabad,Architect,Low,,,,,,
34,85,183,36.66,FALSE,Agra,Chef,Low,,,,,,
53,64,159,39.3,FALSE,Rajkot,Doctor,Medium,,,,,,
52,90,169,16.15,TRUE,Amritsar,Architect,High,,,,,,
32,83,166,4.66,FALSE,Patna,HR Manager,Low,,,,,,
28,89,172,46.27,TRUE,Meerut,HR Manager,High,,,,,,
37,92,174,37.77,FALSE,Bhopal,Insurance Agent,Medium,,,,,,
48,64,155,39.02,FALSE,Delhi,Businessman,Medium,,,,,,
30,77,151,19.61,TRUE,Bangalore,Plumber,High,,,,,,
22,96,163,4.75,TRUE,Ludhiana,Electrician,Medium,,,,,,
59,86,169,21.31,TRUE,Hyderabad,Carpenter,Medium,,,,,,
46,64,192,43.56,FALSE,Srinagar,Consultant,Medium,,,,,,
54,69,167,33.23,FALSE,Patna,Content Writer,Medium,,,,,,
57,94,160,47.27,FALSE,Ghaziabad,Pharmacist,High,,,,,,
49,96,177,42.8,TRUE,Indore,Civil Servant,High,,,,,,
63,70,157,45.26,FALSE,Delhi,Lab Technician,High,,,,,,
34,46,179,18.11,TRUE,Ahmedabad,Civil Servant,High,,,,,,
56,60,189,11.36,TRUE,Indore,Consultant,High,,,,,,
63,88,152,14.27,FALSE,Vadodara,Doctor,Medium,,,,,,
37,52,189,6.05,FALSE,Patna,Factory Worker,Low,,,,,,
64,66,188,35.64,FALSE,Indore,Shop Owner,Medium,,,,,,
63,91,150,39.1,TRUE,Varanasi,Lawyer,High,,,,,,
24,52,187,18.84,TRUE,Delhi,Nurse,Medium,,,,,,
64,50,167,2.24,TRUE,Ahmedabad,Teacher,High,,,,,,
61,99,160,4.27,FALSE,Agra,Electrician,Medium,,,,,,
51,88,173,23.49,FALSE,Mumbai,Government Employee,Medium,,,,,,
31,68,158,48.57,FALSE,Lucknow,Consultant,Medium,,,,,,
38,96,170,3.46,FALSE,Pune,HR Manager,Low,,,,,,
39,63,163,26.51,FALSE,Hyderabad,Pharmacist,Low,,,,,,
29,88,169,21.27,FALSE,Ahmedabad,Carpenter,Medium,,,,,,
38,91,162,15.22,TRUE,Ahmedabad,Shop Owner,High,,,,,,
26,81,165,47.67,TRUE,Rajkot,HR Manager,Medium,,,,,,
61,75,168,36.13,FALSE,Nashik,Lab Technician,Low,,,,,,
51,63,150,20.6,FALSE,Nagpur,Banker,Medium,,,,,,
63,92,190,16.77,FALSE,Patna,Plumber,Medium,,,,,,
31,47,180,21.81,FALSE,Faridabad,Architect,Medium,,,,,,
43,76,188,37.04,FALSE,Bhopal,Sales Manager,Low,,,,,,
29,87,175,16.77,FALSE,Agra,Data Analyst,Low,,,,,,
33,90,184,46.19,FALSE,Nagpur,Software Engineer,Medium,,,,,,
31,94,162,20.16,FALSE,Bhopal,Architect,Medium,,,,,,
34,87,152,24.67,FALSE,Agra,Software Engineer,Medium,,,,,,
60,62,162,36.96,TRUE,Jaipur,Electrician,High,,,,,,
19,99,165,13.13,FALSE,Agra,Factory Worker,Low,,,,,,
42,78,185,14.44,TRUE,Jaipur,Driver,Medium,,,,,,
64,82,172,20.41,FALSE,Chennai,Shop Owner,Medium,,,,,,
35,85,151,28.91,FALSE,Ranchi,Data Analyst,Medium,,,,,,
24,54,161,44.74,FALSE,Kolkata,Nurse,Low,,,,,,
60,91,168,3.53,TRUE,Indore,Banker,High,,,,,,
51,89,182,3.62,FALSE,Ahmedabad,Architect,Medium,,,,,,
59,93,169,25.88,TRUE,Ranchi,Engineer,High,,,,,,
22,77,179,45.53,FALSE,Jaipur,Shop Owner,Low,,,,,,
57,82,163,36.54,TRUE,Bhopal,Banker,High,,,,,,
59,78,155,19.83,TRUE,Srinagar,Businessman,High,,,,,,
63,66,159,48.1,FALSE,Vadodara,Lawyer,Medium,,,,,,
42,80,188,11.15,FALSE,Rajkot,Sales Manager,Low,,,,,,
58,87,176,11.2,FALSE,Hyderabad,Accountant,Low,,,,,,
32,72,153,5.33,TRUE,Rajkot,Government Employee,High,,,,,,
53,98,191,35.91,FALSE,Mumbai,Engineer,Medium,,,,,,
35,68,156,35.46,TRUE,Visakhapatnam,Teacher,High,,,,,,
45,61,157,17.17,FALSE,Bhopal,Content Writer,Low,,,,,,
59,45,177,28.04,FALSE,Patna,Factory Worker,Medium,,,,,,
38,59,159,17.4,TRUE,Meerut,Banker,High,,,,,,
50,88,172,42.04,FALSE,Surat,Banker,Medium,,,,,,
38,85,167,34.1,FALSE,Jaipur,HR Manager,Medium,,,,,,
33,80,192,46.14,TRUE,Mumbai,Lab Technician,Medium,,,,,,
38,83,190,39.92,TRUE,Lucknow,HR Manager,Medium,,,,,,
24,63,191,46.23,FALSE,Allahabad,Factory Worker,Low,,,,,,
54,99,165,20.08,FALSE,Faridabad,Insurance Agent,Medium,,,,,,
43,90,158,10.34,FALSE,Jaipur,Real Estate Agent,Low,,,,,,
42,57,169,37.42,FALSE,Allahabad,Data Analyst,Medium,,,,,,
20,92,158,20.61,TRUE,Allahabad,Retail Manager,High,,,,,,
45,47,159,47.5,FALSE,Patna,Doctor,Low,,,,,,
30,82,164,12,FALSE,Varanasi,Lab Technician,Low,,,,,,
46,76,154,43.85,FALSE,Srinagar,Driver,Medium,,,,,,
27,57,176,46.5,TRUE,Ranchi,Pharmacist,High,,,,,,
62,62,181,8.71,FALSE,Visakhapatnam,Doctor,Medium,,,,,,
36,58,186,13.63,TRUE,Hyderabad,Government Employee,High,,,,,,
49,52,190,46.15,FALSE,Kanpur,Nurse,Medium,,,,,,
62,97,159,42.59,TRUE,Agra,Nurse,High,,,,,,
43,64,194,43.24,FALSE,Kolkata,Consultant,Medium,,,,,,
49,97,170,37.34,FALSE,Pune,Real Estate Agent,Medium,,,,,,
36,73,182,38.43,TRUE,Visakhapatnam,Electrician,Medium,,,,,,
55,53,161,32.94,FALSE,Faridabad,Chef,Medium,,,,,,
53,66,160,20.71,FALSE,Meerut,Pharmacist,Medium,,,,,,
56,79,185,4.07,TRUE,Kanpur,Accountant,Medium,,,,,,
20,58,167,36.6,FALSE,Bhopal,Electrician,Low,,,,,,
41,56,181,33.72,FALSE,Rajkot,Nurse,Medium,,,,,,
47,54,181,39.89,FALSE,Jaipur,Electrician,Medium,,,,,,
56,56,179,27.65,FALSE,Visakhapatnam,Teacher,Medium,,,,,,
62,81,150,35.11,TRUE,Ghaziabad,Data Analyst,High,,,,,,
54,81,179,45.74,FALSE,Kanpur,Government Employee,Medium,,,,,,
30,88,155,29.22,TRUE,Kanpur,HR Manager,High,,,,,,
29,86,165,26.19,FALSE,Faridabad,Factory Worker,Medium,,,,,,
58,52,165,8.55,FALSE,Meerut,Electrician,Low,,,,,,
39,83,176,24.85,FALSE,Surat,Retail Manager,Medium,,,,,,
29,47,155,4.2,FALSE,Kanpur,Chef,Low,,,,,,
53,87,152,34.61,TRUE,Allahabad,Driver,High,,,,,,
47,99,194,37.64,FALSE,Ranchi,Software Engineer,Medium,,,,,,
31,79,164,5.68,FALSE,Rajkot,Software Engineer,Low,,,,,,
56,72,182,9.97,FALSE,Hyderabad,Teacher,Medium,,,,,,
49,49,162,28.52,TRUE,Ranchi,Shop Owner,High,,,,,,
27,63,164,18.59,FALSE,Ahmedabad,Government Employee,Low,,,,,,
50,49,186,8.24,FALSE,Kolkata,Driver,Medium,,,,,,
25,88,173,47.25,FALSE,Ghaziabad,Content Writer,Low,,,,,,
52,83,188,10.43,TRUE,Nashik,Chef,High,,,,,,
41,58,180,47.14,FALSE,Lucknow,Sales Manager,Medium,,,,,,
33,94,151,10.62,FALSE,Vadodara,Chef,Medium,,,,,,
30,96,187,21.49,FALSE,Ghaziabad,Carpenter,Low,,,,,,
25,74,154,35.65,FALSE,Kolkata,Businessman,Medium,,,,,,
22,88,162,14.34,FALSE,Srinagar,Insurance Agent,Low,,,,,,
38,93,186,5.82,FALSE,Surat,Chef,Low,,,,,,
48,54,158,10.31,FALSE,Ahmedabad,Banker,Low,,,,,,
22,57,186,43.3,TRUE,Srinagar,Pharmacist,High,,,,,,
23,47,191,10.51,FALSE,Hyderabad,Retail Manager,Low,,,,,,
49,89,176,25.12,FALSE,Jaipur,Nurse,Medium,,,,,,
25,82,172,4.71,FALSE,Mumbai,Shop Owner,Low,,,,,,
45,54,174,37.63,FALSE,Ghaziabad,Electrician,Medium,,,,,,
33,54,191,37.94,FALSE,Ahmedabad,HR Manager,Low,,,,,,
41,91,152,42.13,TRUE,Agra,Government Employee,High,,,,,,
48,82,183,23.92,FALSE,Ludhiana,Architect,Low,,,,,,
40,54,175,22.11,TRUE,Rajkot,Software Engineer,Medium,,,,,,
36,82,155,41.9,FALSE,Ahmedabad,Shop Owner,Medium,,,,,,
44,87,172,18.52,FALSE,Allahabad,Chef,Medium,,,,,,
58,83,160,8.57,FALSE,Ludhiana,Consultant,Medium,,,,,,
62,46,172,46.42,FALSE,Ghaziabad,Real Estate Agent,Low,,,,,,
47,69,186,39.73,FALSE,Bangalore,Retail Manager,Low,,,,,,
53,71,158,35.28,TRUE,Hyderabad,Insurance Agent,High,,,,,,
28,91,181,8.66,TRUE,Kanpur,Marketing Manager,Medium,,,,,,
19,55,153,39.13,TRUE,Pune,Chef,Medium,,,,,,
20,46,171,12.93,FALSE,Hyderabad,Consultant,Low,,,,,,
44,94,151,26.74,FALSE,Patna,Factory Worker,Medium,,,,,,
35,71,165,27.34,FALSE,Jaipur,Consultant,Low,,,,,,
60,46,152,33.51,TRUE,Kolkata,Insurance Agent,High,,,,,,
31,95,175,39.83,FALSE,Jaipur,Shop Owner,Medium,,,,,,
61,61,187,24.23,FALSE,Ranchi,Electrician,Medium,,,,,,
50,80,190,27.97,FALSE,Bhopal,Banker,Low,,,,,,
40,45,170,41.23,TRUE,Visakhapatnam,Factory Worker,High,,,,,,
47,51,184,31.11,FALSE,Bangalore,Insurance Agent,Medium,,,,,,
20,62,182,37.02,TRUE,Chennai,Architect,Medium,,,,,,
39,46,185,3.17,FALSE,Faridabad,HR Manager,Low,,,,,,
63,91,172,25.38,FALSE,Indore,Retail Manager,High,,,,,,
43,87,186,23.54,TRUE,Jaipur,Government Employee,Medium,,,,,,
34,73,188,40.65,FALSE,Rajkot,Driver,Low,,,,,,
41,70,192,28.29,FALSE,Bhopal,Teacher,Low,,,,,,
61,83,171,6.23,TRUE,Meerut,Real Estate Agent,High,,,,,,
27,48,194,10.37,FALSE,Allahabad,Architect,Low,,,,,,
30,84,173,41.62,TRUE,Faridabad,Factory Worker,Medium,,,,,,
